gsis_id,pfr_player_name,position,season,pick,round,team,college,age,y2_games,y2_points,y3_games,y3_points,y4_games,y4_points,total_games,total_points,y24_ppg,low_sample_flag,is_training,censored_incomplete_arc,best3of4_ppg,expected_ppg_at_pick,residual_ppg,head_b_training_eligible,target_version,curve_version,age_at_draft,age_at_draft_missing,age_at_draft_source,covid_eligibility_flag,covid_eligibility_flag_missing,covid_eligibility_flag_source,transfer_portal_flag,transfer_portal_flag_missing,transfer_portal_flag_source,early_declare,early_declare_missing,early_declare_source,final_college_age,final_college_age_missing,final_college_age_source,height,height_missing,height_source,weight,weight_missing,weight_source,wr_vertical_jump,wr_vertical_jump_missing,wr_vertical_jump_source,wr_meets_athletic_floor,wr_meets_athletic_floor_missing,wr_meets_athletic_floor_source,rb_speed_score,rb_speed_score_missing,rb_speed_score_source,rb_weight,rb_weight_missing,rb_weight_source,rb_3cone,rb_3cone_missing,rb_3cone_source,rb_meets_athletic_floor,rb_meets_athletic_floor_missing,rb_meets_athletic_floor_source,te_weight,te_weight_missing,te_weight_source,te_bmi,te_bmi_missing,te_bmi_source,te_height_adj_speed_score,te_height_adj_speed_score_missing,te_height_adj_speed_score_source,nfl_pick,nfl_pick_missing,nfl_pick_source,nfl_round,nfl_round_missing,nfl_round_source,rb_age_at_draft,rb_age_at_draft_missing,rb_age_at_draft_source,te_age_at_draft,te_age_at_draft_missing,te_age_at_draft_source,wr_dominator_career,wr_dominator_career_missing,wr_dominator_career_source,rb_career_dominator,rb_career_dominator_missing,rb_career_dominator_source,te_career_dominator,te_career_dominator_missing,te_career_dominator_source,wr_market_share_yds,wr_market_share_yds_missing,wr_market_share_yds_source,rb_scrimmage_ypg,rb_scrimmage_ypg_missing,rb_scrimmage_ypg_source,wr_dominator_final,wr_dominator_final_missing,wr_dominator_final_source,wr_breakout_age,wr_breakout_age_missing,wr_breakout_age_source,rb_rec_ypg,rb_rec_ypg_missing,rb_rec_ypg_source,rb_final_dominator,rb_final_dominator_missing,rb_final_dominator_source,te_deep_yard_share,te_deep_yard_share_missing,te_deep_yard_share_source,te_ryptpa_final,te_ryptpa_final_missing,te_ryptpa_final_source,rb_10_yard_split,rb_10_yard_split_missing,rb_10_yard_split_source,rb_ras_composite,rb_ras_composite_missing,rb_ras_composite_source,wr_ras_composite,wr_ras_composite_missing,wr_ras_composite_source,wr_yards_per_reception_career,wr_yards_per_reception_career_missing,wr_yards_per_reception_career_source,te_yards_per_reception_career,te_yards_per_reception_career_missing,te_yards_per_reception_career_source,te_ras_composite,te_ras_composite_missing,te_ras_composite_source,wr_rec_tds_per_game_final,wr_rec_tds_per_game_final_missing,wr_rec_tds_per_game_final_source,rb_school_sp_plus,rb_school_sp_plus_missing,rb_school_sp_plus_source,wr_early_declare,wr_early_declare_missing,wr_early_declare_source,w2_combine_degraded,w2b_cfbd_degraded,yprr_college,yprr_college_missing,yprr_college_source,ryptpa,ryptpa_missing,ryptpa_source,qb_completion_pct_final,qb_completion_pct_final_missing,qb_completion_pct_final_source,qb_yards_per_attempt_final,qb_yards_per_attempt_final_missing,qb_yards_per_attempt_final_source,qb_td_int_ratio_final,qb_td_int_ratio_final_missing,qb_td_int_ratio_final_source,qb_sack_rate_final,qb_sack_rate_final_missing,qb_sack_rate_final_source,rb_yards_per_carry_final,rb_yards_per_carry_final_missing,rb_yards_per_carry_final_source,rb_yards_per_reception_career,rb_yards_per_reception_career_missing,rb_yards_per_reception_career_source
00-0036991,Amari Rodgers,WR,2021,85,3,GNB,Clemson,21.0,9,43.1,1,0.0,0,0.0,10,43.1,4.31,1,1,0,4.31,8.2367,-3.9267,1,head_b_v3,v3,21.0,0,nfl_data_py,0,0,proxy_draft_year_age,,1,,1,0,proxy_age_at_draft,20.0,0,proxy_age_at_draft,69.0,0,nfl_combine,212.0,0,nfl_combine,33.0,0,nfl_combine,1,0,nfl_combine_szekely2023_proxy,,1,,,1,,,1,,,1,,,1,,,1,,,1,,85,0,nfl_data_py,3,0,nfl_data_py,,1,,,1,,0.23485444531864674,0,cfbd,,1,,,1,,0.2554,0,cfbd,,1,,0.2484,0,cfbd,20.0,0,cfbd_proxy,,1,,,1,,,1,,,1,,,1,,,1,,,1,,12.25,0,cfbd,,1,,,1,,,1,,,1,,1,0,proxy_age_at_draft,0,0,,1,,1.9714,0,cfbd,,,,,,,,,,,,,,,,,,
00-0036984,Trey Sermon,RB,2021,88,3,SFO,Ohio St.,22.0,1,1.9000000000000001,8,20.3,14,53.800000000000004,23,76.0,3.304,0,1,0,3.3043,7.3666,-4.0623,1,head_b_v3,v3,22.0,0,nfl_data_py,0,0,proxy_draft_year_age,,1,,0,0,proxy_age_at_draft,21.0,0,proxy_age_at_draft,72.0,0,nfl_combine,215.0,0,nfl_combine,,1,,,1,,98.58,0,combine_barnwell2008,215.0,0,nfl_combine,6.83,0,nfl_combine,1,0,combine_szekely2023_proxy,,1,,,1,,,1,,88,0,nfl_data_py,3,0,nfl_data_py,22.0,0,nfl_data_py,,1,,,1,,0.3174582798459563,0,cfbd,,1,,,1,,,1,,,1,,,1,,,1,,0.2209,0,cfbd,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,28.4,0,cfbd_sp_plus,,1,,0,0,,,,,,,,,,,,,,,,,,,8.0357,0,cfbd,,1,below_volume_gate
00-0036554,Nico Collins,WR,2021,89,3,HOU,Michigan,22.0,10,97.10000000000001,15,260.4,12,210.60000000000002,37,568.1,15.354,0,1,0,15.3541,8.2367,7.1174,1,head_b_v3,v3,22.0,0,nfl_data_py,0,0,proxy_draft_year_age,,1,,0,0,proxy_age_at_draft,21.0,0,proxy_age_at_draft,76.0,0,nfl_combine,215.0,0,nfl_combine,37.5,0,nfl_combine,1,0,nfl_combine_szekely2023_proxy,,1,,,1,,,1,,,1,,,1,,,1,,,1,,89,0,nfl_data_py,3,0,nfl_data_py,,1,,,1,,,1,,,1,,,1,,0.2249,0,cfbd,,1,,0.2583,0,cfbd,19.0,0,cfbd_proxy,,1,,,1,,,1,,,1,,,1,,,1,,,1,,18.58,0,cfbd,,1,,,1,,,1,,,1,,0,0,proxy_age_at_draft,0,0,,1,,1.661,0,cfbd,,,,,,,,,,,,,,,,,,
00-0036999,Anthony Schwartz,WR,2021,91,3,CLE,Auburn,21.0,6,18.8,0,0.0,0,0.0,6,18.8,3.133,1,1,1,,8.2367,,0,head_b_v3,v3,21.0,0,nfl_data_py,0,0,proxy_draft_year_age,,1,,1,0,proxy_age_at_draft,20.0,0,proxy_age_at_draft,72.0,0,nfl_combine,186.0,0,nfl_combine,32.0,0,nfl_combine,1,0,nfl_combine_szekely2023_proxy,,1,,,1,,,1,,,1,,,1,,,1,,,1,,91,0,nfl_data_py,3,0,nfl_data_py,,1,,,1,,0.2595995045417011,0,cfbd,,1,,,1,,0.3071,0,cfbd,,1,,0.2899,0,cfbd,20.0,0,cfbd_proxy,,1,,,1,,,1,,,1,,,1,,,1,,,1,,12.71,0,cfbd,,1,,,1,,,1,,,1,,1,0,proxy_age_at_draft,0,0,,1,,1.8011,0,cfbd,,,,,,,,,,,,,,,,,,
00-0037011,Tre' McKitty,TE,2021,97,3,LAC,Georgia,22.0,8,17.2,0,0.0,0,0.0,8,17.2,2.15,1,1,0,2.15,7.674,-5.524,1,head_b_v3,v3,22.0,0,nfl_data_py,0,0,proxy_draft_year_age,,1,,0,0,proxy_age_at_draft,21.0,0,proxy_age_at_draft,76.0,0,nfl_combine,247.0,0,nfl_combine,,1,,,1,,,1,,,1,,,1,,,1,,247.0,0,nfl_combine,30.06,0,nfl_combine_derived,,1,,97,0,nfl_data_py,3,0,nfl_data_py,,1,,22.0,0,nfl_data_py,,1,,,1,,0.04795040485829959,0,cfbd,,1,,,1,,,1,,,1,,,1,,,1,,,1,,0.3529,0,cfbd,,1,,,1,,,1,,,1,,18.0,0,cfbd,,1,,,1,,,1,,,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
00-0036924,Michael Carter,RB,2021,107,4,NYJ,North Carolina,22.0,16,126.0,15,58.8,3,35.8,34,220.6,6.488,0,1,0,6.4882,7.3384,-0.8502,1,head_b_v3,v3,22.0,0,nfl_data_py,0,0,proxy_draft_year_age,,1,,0,0,proxy_age_at_draft,21.0,0,proxy_age_at_draft,67.0,0,nfl_combine,201.0,0,nfl_combine,,1,,,1,,98.03,0,combine_barnwell2008,201.0,0,nfl_combine,6.81,0,nfl_combine,1,0,combine_szekely2023_proxy,,1,,,1,,,1,,107,0,nfl_data_py,4,0,nfl_data_py,22.0,0,nfl_data_py,,1,,,1,,0.34853609288238263,0,cfbd,,1,,,1,,,1,,,1,,,1,,,1,,0.2466,0,cfbd,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,18.0,0,cfbd_sp_plus,,1,,0,0,,,,,,,,,,,,,,,,,,,7.9808,0,cfbd,8.1235,0,cfbd
00-0036627,Dez Fitzpatrick,WR,2021,109,4,TEN,Louisville,23.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,1,1,,8.2367,,0,head_b_v3,v3,23.0,0,nfl_data_py,1,0,proxy_draft_year_age,,1,,0,0,proxy_age_at_draft,22.0,0,proxy_age_at_draft,73.0,0,nfl_combine,208.0,0,nfl_combine,35.0,0,nfl_combine,1,0,nfl_combine_szekely2023_proxy,,1,,,1,,,1,,,1,,,1,,,1,,,1,,109,0,nfl_data_py,4,0,nfl_data_py,,1,,,1,,0.2300632911392405,0,cfbd,,1,,,1,,0.3105,0,cfbd,,1,,0.2302,0,cfbd,19.0,0,cfbd_proxy,,1,,,1,,,1,,,1,,,1,,,1,,,1,,16.79,0,cfbd,,1,,,1,,,1,,,1,,0,0,proxy_age_at_draft,0,0,,1,,2.6444,0,cfbd,,,,,,,,,,,,,,,,,,
00-0036963,Amon-Ra St. Brown,WR,2021,112,4,DET,USC,21.0,16,267.6,16,330.90000000000003,17,316.18,49,914.68,18.667,0,1,0,18.6669,8.2367,10.4302,1,head_b_v3,v3,21.0,0,nfl_data_py,0,0,proxy_draft_year_age,,1,,1,0,proxy_age_at_draft,20.0,0,proxy_age_at_draft,71.0,0,nfl_combine,197.0,0,nfl_combine,38.5,0,nfl_combine,1,0,nfl_combine_szekely2023_proxy,,1,,,1,,,1,,,1,,,1,,,1,,,1,,112,0,nfl_data_py,4,0,nfl_data_py,,1,,,1,,0.33062139260714724,0,cfbd,,1,,,1,,0.2495,0,cfbd,,1,,0.3306,0,cfbd,18.0,0,cfbd_proxy,,1,,,1,,,1,,,1,,,1,,,1,,,1,,12.47,0,cfbd,,1,,,1,,,1,,,1,,1,0,proxy_age_at_draft,0,0,,1,,1.8175,0,cfbd,,,,,,,,,,,,,,,,,,
00-0036842,Kene Nwangwu,RB,2021,119,4,MIN,Iowa St.,23.0,3,11.5,3,1.3,1,6.0,7,18.8,2.686,1,1,1,,7.3384,,0,head_b_v3,v3,23.0,0,nfl_data_py,1,0,proxy_draft_year_age,,1,,0,0,proxy_age_at_draft,22.0,0,proxy_age_at_draft,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,119,0,nfl_data_py,4,0,nfl_data_py,23.0,0,nfl_data_py,,1,,,1,,0.1368592788401966,0,cfbd,,1,,,1,,,1,,,1,,,1,,,1,,0.0629,0,cfbd,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,13.3,0,cfbd_sp_plus,,1,,0,0,,,,,,,,,,,,,,,,,,,5.68,0,cfbd,,1,below_volume_gate
00-0036875,Rhamondre Stevenson,RB,2021,120,4,NWE,Oklahoma,23.0,17,249.10000000000002,12,145.70000000000002,15,175.9,44,570.7,12.97,0,1,0,12.9705,7.3384,5.6321,1,head_b_v3,v3,23.0,0,nfl_data_py,1,0,proxy_draft_year_age,,1,,0,0,proxy_age_at_draft,22.0,0,proxy_age_at_draft,71.0,0,nfl_combine,231.0,0,nfl_combine,,1,,,1,,99.67,0,combine_barnwell2008,231.0,0,nfl_combine,7.09,0,nfl_combine,1,0,combine_szekely2023_proxy,,1,,,1,,,1,,120,0,nfl_data_py,4,0,nfl_data_py,23.0,0,nfl_data_py,,1,,,1,,0.297560838532007,0,cfbd,,1,,,1,,,1,,,1,,,1,,,1,,0.1444,0,cfbd,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,17.8,0,cfbd_sp_plus,,1,,0,0,,,,,,,,,,,,,,,,,,,5.759,0,cfbd,10.6429,0,cfbd
